""	"AqFl1-002"	"AqFl1-003"	"AqFl1-005"	"AqFl1-007"	"AqFl1-009"	"AqFl1-011"	"AqFl1-013"	"AqFl1-014"	"AqFl1-019"	"AqFl1-021"	"AqFl1-022"	"AqFl1-024"	"AqFl1-025"	"AqFl1-028"	"AqFl1-029"	"AqFl1-030"	"AqFl1-034"	"AqFl1-035"	"AqFl1-038"	"AqFl1-039"	"AqFl1-043"	"AqFl1-045"	"AqFl1-046"	"AqFl1-047"	"AqFl1-049"	"AqFl1-050"	"AqFl1-055"	"AqFl1-056"	"AqFl1-057"	"AqFl1-058"	"AqFl1-059"	"AqFl1-064"	"AqFl1-069"	"AqFl1-070"	"AqFl1-071"	"AqFl1-072"	"AqFl1-073"	"AqFl1-075"	"AqFl1-076"	"AqFl1-077"	"AqFl1-084"	"AqFl1-086"	"AqFl1-088"	"AqFl1-089"	"AqFl1-092"	"AqFl1-094"	"AqFl1-095"
"AqFl1-002"	0	2.49007026345597	2.28490755746866	0.927905112931195	0.619007696854437	2.98863815753632	2.22230432303404	2.28472658648545	2.6371011854903	1.15066801506371	2.592088130496	2.20084135605441	0.625543796053498	2.73068537781542	0.960709839336421	2.34709026024325	2.43380670037579	0.479780374633539	0.657958159819988	2.66871082510663	2.72490728680127	0.674680576523454	2.89780815033283	0.862092601311216	0.433651302039295	2.86001062139475	1.30935579373342	2.99018293060799	2.72020117990807	2.62961694292321	0.627196677033053	2.12543447074551	1.87993288329535	1.92627039249306	2.42134114474051	0.734025652751978	3.10979740871424	2.36557247914927	2.07825093783481	0.223448222381902	2.86916500044856	3.73194344836622	1.74122236321585	0.669459901813725	3.06532058625519	1.19055961897716	2.72574384532006
"AqFl1-003"	2.49007026345597	0	0.883902625501011	2.04957333597666	2.1746302551507	0.661588250949224	1.30368586723253	2.48505353324076	1.1287886709048	2.35973237775931	2.91942679519939	2.32773000767748	2.35973685864804	0.391611470900959	2.14705739901667	1.09259585902237	0.669911627748977	2.3566782641788	2.14909101117587	1.14786450358592	0.542632349372616	2.27896812842844	0.572546195885583	2.25582688428468	2.28722337077679	2.80955678999794	2.0387997547193	0.793260766267083	0.494350842946865	2.42469099510897	2.11017075610969	0.738315243052443	2.18312762295428	1.88685709028428	1.26458843440976	2.21973296822282	2.79506272618197	0.918193023320274	0.903068567906204	2.28492378315883	0.645280872336258	2.00765345143889	2.3330879660619	2.10305740923477	1.04440960231386	2.10887096034497	0.481332198867667
"AqFl1-005"	2.28490755746866	0.883902625501011	0	1.70909147693299	1.88644473626837	0.999648180245584	1.86718048062299	2.02972126922031	0.487392810731695	1.97462778666687	3.16953665115609	1.90837417523968	2.03120693779823	0.788188945879179	1.77984988405445	1.64455474833953	0.484860705730737	2.08789098057422	1.91530485130882	0.435255716176142	1.01860795216674	2.03820079122416	1.09657175569305	1.91273116674876	2.04138851923673	3.23319139133011	1.65233851892478	1.04509774434035	0.687208711265672	2.06364896113526	1.74562779637863	1.20917859958746	1.81659663211035	2.06593493593476	0.495223773403424	1.97024076314923	2.41596485389983	0.184971324099008	1.4271281449106	2.09930558647657	1.09098281408168	1.92174380209137	1.95184175495239	1.81720126438443	1.15749912696804	1.71939249362647	0.932561424208008
"AqFl1-007"	0.927905112931195	2.04957333597666	1.70909147693299	0	0.310219966138333	2.39130525609498	2.29614240460315	1.38575260805885	1.93866843854494	0.399989038298691	3.17493639107674	1.29069793985958	0.395074620735125	2.18717756054879	0.114550914321218	2.33191401644107	1.7886008140819	0.496008674460484	0.337573257823297	2.03782630925567	2.13002252557328	0.390238707659257	2.32041742060548	0.209797082601942	0.509942098252259	3.35430279086858	0.387574413061652	2.34048814579378	2.14885628770353	1.71732124339582	0.674325567356131	1.96942250913932	0.978214903168246	2.26218344607596	1.69948565342745	0.31745194979247	2.19783728267641	1.72877606089946	1.99620804994264	0.765494434173887	2.25911854358534	2.89174967992673	0.873233308909057	0.264321186395675	2.35006020107213	0.284345272963222	2.1397304556288
"AqFl1-009"	0.619007696854437	2.1746302551507	1.88644473626837	0.310219966138333	0	2.57989307866867	2.24036754617707	1.67747790432336	2.16654145586733	0.587591161001668	2.97337948328606	1.58756642019256	0.198242536396499	2.3541405927679	0.351432875605847	2.30912112386372	1.99110785052043	0.209125541326158	0.152978912375014	2.24149989004057	2.3128997791239	0.225628230296757	2.49906500164234	0.283023607311783	0.20319065480993	3.17830750590212	0.69092278403561	2.54773701472464	2.32670367970825	2.01553095293257	0.514357466414766	1.9891502354846	1.26901209902643	2.12688532839189	1.9349768004099	0.214186125365093	2.49627956848975	1.93002724227964	1.98861289084296	0.466408269416111	2.44919654096879	3.17161278452029	1.14433254814698	0.0746376866493171	2.58187406690781	0.576145068213279	2.32033374570866
"AqFl1-011"	2.98863815753632	0.661588250949224	0.999648180245584	2.39130525609498	2.57989307866867	0	1.94527479240129	2.45957262961478	0.930981919745481	2.63283127612785	3.55784349194293	2.31651795191442	2.74811444434792	0.310813287435538	2.47095849346	1.71572036379233	0.643191905566786	2.77815813946366	2.55728533084175	1.01091516726257	0.394099383937128	2.67431541982978	0.259737390490733	2.5983258723396	2.72447551128576	3.4397256028677	2.2791134235504	0.223917810849547	0.330903082991451	2.29837367115047	2.55634858756377	1.38891354616415	2.26632526917559	2.52084533675101	1.17507300057945	2.60453485399405	2.57299118878031	0.9276383377701	1.56156961290812	2.77738687620056	0.310151991728614	1.43274178855877	2.46012312289646	2.50547514910597	0.503967254447794	2.37666120121992	0.312918711053723
"AqFl1-013"	2.22230432303404	1.30368586723253	1.86718048062299	2.29614240460315	2.24036754617707	1.94527479240129	0	3.27041576863278	2.287611091484	2.68103627695694	1.74057793746319	3.10968412820568	2.4292932648035	1.685720478291	2.41026476745113	0.347516151497524	1.86480078347437	2.33796134120036	2.20538674016375	2.24018500817076	1.77617616178241	2.33565991714996	1.81501876391862	2.45233222701516	2.24024698511345	1.53671037371337	2.48830737430692	2.08281735244481	1.77989253538676	3.32909209548294	2.09348655124708	0.66344307290893	2.8499776020494	0.951648602287959	2.32418266151884	2.31613378289987	3.77929112211442	1.98884419281079	0.447034197707207	2.07616565948758	1.89019872968341	3.28105732565215	2.91060353013703	2.19324696776997	2.32678796548186	2.49307874164759	1.75640694234284
"AqFl1-014"	2.28472658648545	2.48505353324076	2.02972126922031	1.38575260805885	1.67747790432336	2.45957262961478	3.27041576863278	0	1.90749871274941	1.15367317021613	4.46324280854722	0.175831308330844	1.67177331926828	2.41534568745641	1.3324790721237	3.2296539059794	1.9435103607636	1.81062598627692	1.66644218034201	2.12360428926527	2.25565913300262	1.64704593858515	2.43485396655263	1.42348286687172	1.85785171438759	4.57487087973112	1.00315313849314	2.30324307361712	2.33716931004976	0.479427471790913	1.98663900579235	2.79397916788298	0.478477388658293	3.45311979904388	1.69138199420755	1.58131776317914	0.85898544446414	1.92219749033322	2.88299389781792	2.13972323785039	2.31915355563524	2.18525932011277	0.573643976057	1.6449405656422	2.14684876489951	1.10487582372325	2.28797531102892
"AqFl1-019"	2.6371011854903	1.1287886709048	0.487392810731695	1.93866843854494	2.16654145586733	0.930981919745481	2.287611091484	1.90749871274941	0	2.1297189163711	3.65288556867856	1.80156446351348	2.29388304924435	0.870304115126016	1.99127487398095	2.06007532486885	0.528364972078497	2.37457615165651	2.19006763875642	0.278310336717213	1.02907699479504	2.29684721545858	1.08661540054744	2.13482872250391	2.34269971779898	3.69748859075572	1.78737091221313	0.902276264066098	0.732965062863717	1.86238013158225	2.09159156758368	1.63118384233232	1.7973700194998	2.55029446669245	0.295618929602894	2.22176987583299	2.13790284699583	0.328590179967495	1.84456309918036	2.44739863709848	1.04666419445869	1.5044597972244	1.96927396957603	2.09691148652189	0.909862175298393	1.87913074760353	0.95387407623878
"AqFl1-021"	1.15066801506371	2.35973237775931	1.97462778666687	0.399989038298691	0.587591161001668	2.63283127612785	2.68103627695694	1.15367317021613	2.1297189163711	0	3.5496989351342	1.09421805814934	0.531751621573253	2.45927438916709	0.29705421791661	2.71794075990525	2.02782187600561	0.674503748446973	0.598972470852807	2.25572699247082	2.37099836074413	0.545064748232819	2.56662454602834	0.305186070426025	0.739371597157176	3.73618914524288	0.362449101562846	2.55461651220149	2.41116505676243	1.54215190294404	0.988011561482807	2.3456673893397	0.80421680069156	2.65791953620078	1.87501763415032	0.496759623083864	1.99777761972003	1.96683527784299	2.37617814401495	1.03664859905706	2.48991226287638	2.94572872779513	0.621181356397522	0.585761955260475	2.52318566214306	0.259780327325173	2.38900134260691
