""	"AqFl1-001"	"AqFl1-004"	"AqFl1-006"	"AqFl1-008"	"AqFl1-010"	"AqFl1-012"	"AqFl1-015"	"AqFl1-016"	"AqFl1-017"	"AqFl1-018"	"AqFl1-020"	"AqFl1-023"	"AqFl1-026"	"AqFl1-027"	"AqFl1-031"	"AqFl1-032"	"AqFl1-033"	"AqFl1-036"	"AqFl1-037"	"AqFl1-040"	"AqFl1-041"	"AqFl1-042"	"AqFl1-044"	"AqFl1-048"	"AqFl1-051"	"AqFl1-052"	"AqFl1-053"	"AqFl1-054"	"AqFl1-060"	"AqFl1-061"	"AqFl1-062"	"AqFl1-063"	"AqFl1-065"	"AqFl1-066"	"AqFl1-067"	"AqFl1-068"	"AqFl1-074"	"AqFl1-078"	"AqFl1-079"	"AqFl1-080"	"AqFl1-081"	"AqFl1-082"	"AqFl1-083"	"AqFl1-087"	"AqFl1-090"	"AqFl1-091"	"AqFl1-093"	"AqFl1-096"	"AqFl1-115"	"AqFl1-116"	"AqFl1-117"	"AqFl1-118"	"AqFl1-119"	"AqFl1-120"	"AqFl1-121"	"AqFl1-122"
"AqFl1-001"	0	0.79485261988809	1.08922469799367	1.74621925264003	1.07872962996069	0.833222621472137	0.382484647081022	1.40374899049068	0.111412937434341	0.927312527520263	0.990859533152724	1.15532958824115	1.31311709947544	0.545679641652453	1.72670172295193	1.80392401313682	0.342790571127897	1.28660130350923	1.23404600396329	0.666907124837937	1.30815783090976	0.787801357974579	0.416358129963237	1.00195889219713	0.959136785670374	0.595274664167912	1.3678974665736	1.08371247099762	1.09053828213287	0.921799641720139	1.68081120614253	0.507351115859965	0.367120832017475	1.68802002779581	0.997686816595972	0.418653466417366	0.680949346353226	0.995006636832021	1.30037134711175	1.1344011028081	1.57208262470934	0.969975396614948	1.77555668995327	0.247713288851324	1.19147979756823	0.847150524497403	1.71686485056502	1.27004774713833	1.32863953479187	1.38171274152717	3.64456238998796	2.03997971720579	2.5410651410113	4.43363272696604	3.05215523746297	3.0271790903908
"AqFl1-004"	0.79485261988809	0	1.53043797798554	2.53106812382295	1.57438536682792	0.168499608629845	0.471943849256619	2.12011940145036	0.806367559254391	1.63036011389979	0.327344346239582	1.77763183176664	1.80722992666217	0.3500647360932	1.08173850093191	2.59000852352264	0.654327721578404	1.77302885378876	1.75453349610016	1.18977118351605	2.04828873212671	0.15860417404865	0.543695405408523	1.71818746209125	1.50834731444841	0.224210080778704	0.650255092791816	1.364640429986	1.70764415301843	0.349803241601192	2.46380298247189	0.5699555875097	0.569065098292096	2.45884161287843	1.6788147665808	0.420891716436078	0.405465187511494	0.613169742181275	2.07907923743442	1.89581570319866	2.28585554933537	1.57617061310885	1.07358766859072	0.550133557583699	1.84012320307156	0.411785491926505	2.48194831099017	0.609785097518273	1.798159869377	1.90425763144403	3.96624625061878	2.47666869693034	2.94078703550318	4.72622056241581	3.41225643893269	3.38876816630578
"AqFl1-006"	1.08922469799367	1.53043797798554	0	1.83177579021085	0.111755481521818	1.51233199645312	1.136827814145	0.931320457485834	1.19291478321022	0.628244521839013	1.48368184235793	0.454575312963336	0.415247560274313	1.18508840011902	1.8986666114277	1.74729838568115	1.41595972980694	0.257063544817989	0.369447084256787	0.423590590978474	0.959788993778082	1.41576643058597	1.45537204672761	0.692248122092608	0.237708355321505	1.40145792985577	1.7592142650876	0.301935812100124	0.411131609216359	1.37857491962885	1.68036875094024	0.983327980326577	1.41383738887181	1.87823744011901	0.601932611196249	1.37917872892259	1.17174767375622	1.24220667201382	1.20093260666075	0.982187109096857	1.0490453981454	0.353500434713548	2.04371455453274	1.20356670451489	0.546023914648187	1.25208048043021	1.3796345304605	1.61401502115086	0.278001373081174	0.866516741538948	3.58237346413465	1.83191784286475	2.41472630725038	4.38774183837551	2.98482533005695	2.93236727095433
"AqFl1-008"	1.74621925264003	2.53106812382295	1.83177579021085	0	1.72393740717201	2.54199544178056	2.09091469630519	1.00437743443872	1.74238681803372	1.21836673570266	2.70500124870167	1.40934177326034	1.69856409372469	2.26821156256811	3.40759530446512	0.23315643926086	1.95463212024438	1.75778320839653	1.63291039162415	1.70320918569346	0.911071219002276	2.52614277245066	2.06873644104706	1.14620887030241	1.6063338386337	2.31611509588181	3.08574706337867	2.08133562824024	1.45270454004611	2.62036266828062	0.188038564917807	2.1289920537196	2.02398186288526	0.208942220776859	1.31517068228482	2.13131247379052	2.34807738296133	2.58783051002621	0.634612968208257	0.850925203398038	1.00962427568032	1.48850303191413	3.48683756812206	1.98301077661743	1.34594658878689	2.51988163624884	0.750605092462715	2.97706132990991	1.8314516772952	1.82249258337409	3.82683633644283	2.35671405803238	2.77275924461958	4.58189698753902	3.24989352994181	3.22833832813721
"AqFl1-010"	1.07872962996069	1.57438536682792	0.111755481521818	1.72393740717201	0	1.55925879917839	1.16222761651641	0.820868114355999	1.17867521218664	0.527782366846948	1.54765416229688	0.343506995855357	0.374337836445757	1.22600817735575	1.99193473953824	1.63690619325624	1.41306770123977	0.218467595031654	0.308796621216682	0.418516437518181	0.848304546416335	1.46687990517513	1.46098588935496	0.586775336580481	0.154595526056022	1.43388632060251	1.83670978533552	0.407406275256887	0.302542402646698	1.44239350470149	1.5717045509052	1.02300518262996	1.41745633492007	1.77432818178668	0.504657864637687	1.39477144068195	1.22321218393164	1.31399503869275	1.09234987807068	0.875424963463904	0.941129746313328	0.252493163659682	2.13270362806389	1.21356038785835	0.43608933000359	1.3155699386595	1.26883701114887	1.69272227758955	0.263392731435629	0.833346799471147	3.56162972377692	1.80633175305004	2.38903779321709	4.36835991949297	2.96066462563142	2.90913089866961
"AqFl1-012"	0.833222621472137	0.168499608629845	1.51233199645312	2.54199544178056	1.55925879917839	0	0.476795528766906	2.11300056519404	0.856417757623209	1.63045266192582	0.277556892946356	1.76805251234857	1.76331031503387	0.377492330469065	1.06526665711311	2.5961344840283	0.72809481398738	1.74849751680643	1.71709787409916	1.18324220584416	2.04852603395342	0.222897344977001	0.623290659564435	1.7208609193707	1.49478142240319	0.250780177078886	0.623278141292249	1.33164974011668	1.7076431009	0.287972655882637	2.46774806381621	0.540268972652907	0.641855466455994	2.46619321624103	1.69771284255115	0.485358833035867	0.345033732356697	0.503309085620105	2.0867961585154	1.89886743232543	2.27655874683742	1.57284622143978	1.06521724850738	0.590724980236036	1.84015683027149	0.347868470995238	2.49401891027992	0.590456963750854	1.78579690362285	1.96056091733116	4.10497436307002	2.58416599562031	3.06355070627187	4.86999316853844	3.54566291682601	3.51995601493865
"AqFl1-015"	0.382484647081022	0.471943849256619	1.136827814145	2.09091469630519	1.16222761651641	0.476795528766906	0	1.65263221475605	0.439928206187833	1.16615544979391	0.61887159742202	1.32947339205275	1.38535688715236	0.199636782856234	1.37534471028945	2.13588662567386	0.448749906919784	1.36414492790059	1.32444617101582	0.756019595903688	1.58090944054771	0.442975407030912	0.412679438696905	1.25411951233008	1.07505486097559	0.281059354428778	1.00245955959199	1.02695616838958	1.26691638595872	0.546291123080212	2.01194589224323	0.214787375800041	0.390670110347111	2.03011711439541	1.23550660143449	0.278394468215121	0.306983218332368	0.632126255351729	1.61681716916227	1.42892190805173	1.81847685460078	1.13350675528404	1.42190534514435	0.191033342646088	1.39179602653608	0.475252208277126	2.02035317206785	0.909677682736058	1.40556197293121	1.55810160475029	3.834324600987	2.23841755925192	2.74411825874052	4.61854296080133	3.25231568872149	3.22419378088602
"AqFl1-016"	1.40374899049068	2.12011940145036	0.931320457485834	1.00437743443872	0.820868114355999	2.11300056519404	1.65263221475605	0	1.4626865098135	0.494032831315137	2.18599227901096	0.478275117914749	0.758982166036258	1.7868056131209	2.75330266432302	0.86303409055714	1.72626647279987	0.792042812435978	0.700652501770655	0.99231647216835	0.151960258989247	2.05600924399842	1.81673476858812	0.412630104462154	0.753914068416623	1.92931283676488	2.52815641918347	1.21487951124962	0.559139571124947	2.08409120557597	0.832316235458352	1.59284704032991	1.76674336843113	1.10743647845349	0.557393263086705	1.81100058986958	1.82213321290211	1.98391280558536	0.438390590645446	0.360129146968129	0.168457415366933	0.643362381675235	2.87446747026719	1.62334222690398	0.419537299055792	1.9616163732287	0.491529666497622	2.39522806878404	0.863667099853737	1.09218707818191	3.61459112539452	1.92308138415481	2.45747345999852	4.41086100859778	3.01172652928436	2.96728380349386
"AqFl1-017"	0.111412937434341	0.806367559254391	1.19291478321022	1.74238681803372	1.17867521218664	0.856417757623209	0.439928206187833	1.4626865098135	0	0.996364172306537	1.03240463725498	1.23909698755594	1.41234074941183	0.597473168317072	1.77828060933509	1.8135908971773	0.264241538277242	1.3862380437806	1.33153021102463	0.771011698652064	1.35913494951844	0.818335473327727	0.359368414633262	1.06540654863228	1.05602507349072	0.609341292026277	1.40674263923387	1.19376571312672	1.17417154884308	0.972285778380331	1.68852613837639	0.593691101107104	0.310291302422381	1.67612283960852	1.06510582408422	0.402366636960435	0.745823869395865	1.06808723138284	1.32823822336251	1.17618587166464	1.63051257431711	1.05807197538181	1.81658001315174	0.26958920587066	1.26844695211067	0.909178186600826	1.75212476601392	1.31647519818221	1.42689505909942	1.44277419310074	3.63726869340628	2.05996374445415	2.54664954178543	4.42193793952314	3.04800171869901	3.02608635456485
"AqFl1-018"	0.927312527520263	1.63036011389979	0.628244521839013	1.21836673570266	0.527782366846948	1.63045266192582	1.16615544979391	0.494032831315137	0.996364172306537	0	1.70420688004714	0.314735021636657	0.647017553356164	1.29621839905403	2.29619864102018	1.16093910529663	1.26008086200058	0.6340050899525	0.552055200739507	0.527328384852859	0.43483984094317	1.56561695426269	1.34350163428628	0.0956209153300371	0.395788277429284	1.44386420849382	2.05144633625282	0.87071432409196	0.309645679460252	1.60462013548678	1.08000336235743	1.11171948790499	1.29404532565217	1.25806018271158	0.24678337494157	1.32890929286665	1.34314521456742	1.5293732876403	0.595555068166356	0.371104475137425	0.660368019457243	0.282808681574633	2.4070405837246	1.1397619012373	0.317984921060785	1.48523246361228	0.892282045268784	1.92012421277865	0.703847688286638	0.92369902974625	3.53305062564357	1.80392842914213	2.36083592729213	4.33971830581346	2.92150601284144	2.88053379701008
